datetime,timestamp,open,high,low,close,volume
2022-01-01 00:00:00,1640995200000,3676.01,3747.78,3676.01,3722.07,116271.787
2022-01-01 04:00:00,1641009600000,3722.07,3764.03,3701.16,3714.77,141654.52
2022-01-01 08:00:00,1641024000000,3714.77,3733.33,3671.86,3692.08,150783.679
2022-01-01 12:00:00,1641038400000,3692.09,3744.99,3690.78,3723.98,126802.578
2022-01-01 16:00:00,1641052800000,3723.98,3765.0,3716.43,3745.22,121449.659
2022-01-01 20:00:00,1641067200000,3745.22,3776.33,3737.41,3763.06,98657.57
2022-01-02 00:00:00,1641081600000,3763.05,3770.0,3740.03,3756.54,73133.431
2022-01-02 04:00:00,1641096000000,3756.64,3759.75,3714.48,3745.52,92299.056
2022-01-02 08:00:00,1641110400000,3745.53,3769.25,3730.5,3742.48,80636.325
2022-01-02 12:00:00,1641124800000,3742.46,3790.43,3728.2,3776.17,118529.543
2022-01-02 16:00:00,1641139200000,3776.18,3860.0,3770.56,3797.01,293953.888
2022-01-02 20:00:00,1641153600000,3797.01,3838.25,3792.09,3826.21,81527.187
2022-01-03 00:00:00,1641168000000,3826.1,3826.97,3772.85,3784.1,115349.784
2022-01-03 04:00:00,1641182400000,3784.1,3821.99,3778.25,3806.97,85813.346
2022-01-03 08:00:00,1641196800000,3806.96,3844.67,3790.01,3832.51,132361.771
2022-01-03 12:00:00,1641211200000,3832.51,3850.0,3775.0,3782.3,218422.155
2022-01-03 16:00:00,1641225600000,3782.29,3792.81,3732.2,3737.57,219012.898
2022-01-03 20:00:00,1641240000000,3737.45,3775.86,3680.0,3764.07,228919.399
2022-01-04 00:00:00,1641254400000,3764.07,3772.0,3711.0,3742.67,123831.971
2022-01-04 04:00:00,1641268800000,3742.66,3763.18,3726.45,3761.92,100104.249
2022-01-04 08:00:00,1641283200000,3761.91,3840.72,3755.23,3836.19,236747.954
2022-01-04 12:00:00,1641297600000,3836.19,3893.19,3815.0,3849.02,291036.175
2022-01-04 16:00:00,1641312000000,3849.02,3863.82,3756.71,3812.0,367061.077
2022-01-04 20:00:00,1641326400000,3812.0,3833.39,3784.1,3785.6,134999.264
2022-01-05 00:00:00,1641340800000,3785.6,3827.0,3767.0,3808.7,117269.804
2022-01-05 04:00:00,1641355200000,3808.67,3822.63,3797.0,3816.32,70794.241
2022-01-05 08:00:00,1641369600000,3816.32,3847.18,3780.01,3790.85,169165.759
2022-01-05 12:00:00,1641384000000,3790.86,3833.55,3762.42,3819.25,252397.39
2022-01-05 16:00:00,1641398400000,3819.25,3821.7,3638.0,3653.62,416255.283
2022-01-05 20:00:00,1641412800000,3653.54,3663.56,3405.0,3537.71,788099.471
2022-01-06 00:00:00,1641427200000,3537.81,3549.11,3443.57,3447.77,267095.835
2022-01-06 04:00:00,1641441600000,3448.0,3478.65,3405.42,3452.21,323223.064
2022-01-06 08:00:00,1641456000000,3452.2,3454.95,3292.31,3347.99,550831.824
2022-01-06 12:00:00,1641470400000,3347.99,3423.84,3316.1,3394.68,355332.123
2022-01-06 16:00:00,1641484800000,3394.41,3458.3,3380.77,3444.64,224024.638
2022-01-06 20:00:00,1641499200000,3444.64,3456.63,3403.37,3404.6,119981.864
2022-01-07 00:00:00,1641513600000,3404.61,3415.35,3220.29,3238.05,406671.912
2022-01-07 04:00:00,1641528000000,3238.05,3251.04,3112.5,3201.99,760873.51
2022-01-07 08:00:00,1641542400000,3202.0,3294.84,3188.12,3225.08,384640.522
2022-01-07 12:00:00,1641556800000,3225.07,3268.89,3040.77,3130.02,707967.478
2022-01-07 16:00:00,1641571200000,3130.13,3224.0,3087.62,3195.96,431165.505
2022-01-07 20:00:00,1641585600000,3195.97,3224.32,3164.06,3196.58,163907.425
2022-01-08 00:00:00,1641600000000,3196.58,3246.54,3179.4,3202.85,235691.684
2022-01-08 04:00:00,1641614400000,3202.86,3227.96,3190.05,3215.31,114212.443
2022-01-08 08:00:00,1641628800000,3215.3,3248.03,3206.6,3218.33,177346.832
2022-01-08 12:00:00,1641643200000,3218.34,3229.23,3145.79,3159.67,246911.235
2022-01-08 16:00:00,1641657600000,3159.66,3179.69,2996.45,3028.14,727814.341
2022-01-08 20:00:00,1641672000000,3028.14,3131.69,3002.14,3080.03,357909.62
2022-01-09 00:00:00,1641686400000,3079.86,3145.45,3057.0,3119.04,220247.578
2022-01-09 04:00:00,1641700800000,3119.04,3144.65,3114.27,3125.35,125024.726
2022-01-09 08:00:00,1641715200000,3125.36,3137.41,3082.16,3126.82,193217.747
2022-01-09 12:00:00,1641729600000,3126.82,3133.0,3072.81,3096.81,224693.559
2022-01-09 16:00:00,1641744000000,3096.84,3208.1,3090.63,3201.08,310848.996
2022-01-09 20:00:00,1641758400000,3201.09,3209.4,3142.61,3150.0,156816.186
2022-01-10 00:00:00,1641772800000,3149.99,3168.7,3125.88,3153.1,154673.056
2022-01-10 04:00:00,1641787200000,3153.0,3179.16,3149.95,3161.76,134308.674
2022-01-10 08:00:00,1641801600000,3161.76,3168.07,3092.0,3104.2,257274.821
2022-01-10 12:00:00,1641816000000,3104.2,3110.0,2924.78,3004.19,1007497.69
2022-01-10 16:00:00,1641830400000,3004.19,3101.45,2965.01,3028.85,587746.188
2022-01-10 20:00:00,1641844800000,3028.9,3095.95,3017.81,3081.31,180794.136
